,period,seriesId,seriesDescription,stateId,stateDescription,value,unit
3604,2015,WYTCB,Wind energy total consumption,MS,Mississippi,0,Billion Btu
3605,2015,GEEGP,Geothermal electricity net generation in the electric power sector,NH,New Hampshire,0,Million kilowatthours
3606,2015,WYTCP,Wind electricity total net generation,WI,Wisconsin,1589,Million kilowatthours
3607,2015,GEEGP,Geothermal electricity net generation in the electric power sector,MI,Michigan,0,Million kilowatthours
3608,2015,WYTCB,Wind energy total consumption,WV,West Virginia,12818,Billion Btu
3609,2015,HYTCB,Hydropower total consumption,WA,Washington,683693,Billion Btu
3610,2015,HYTCB,Hydropower total consumption,MS,Mississippi,0,Billion Btu
3611,2015,WYTCP,Wind electricity total net generation,KY,Kentucky,0,Million kilowatthours
3612,2015,GETCB,Geothermal energy total consumption,VT,Vermont,29,Billion Btu
3613,2015,HYTCP,Hydroelectricity total net generation,ME,Maine,3361,Million kilowatthours
3614,2015,GETCB,Geothermal energy total consumption,NJ,New Jersey,466,Billion Btu
3615,2015,GEEGP,Geothermal electricity net generation in the electric power sector,HI,Hawaii,230,Million kilowatthours
3616,2015,GETCB,Geothermal energy total consumption,UT,Utah,4809,Billion Btu
3617,2015,WYTCP,Wind electricity total net generation,MD,Maryland,435,Million kilowatthours
3618,2015,BMTCB,Biomass total consumption,MT,Montana,18596,Billion Btu
3619,2015,BMTCB,Biomass total consumption,OK,Oklahoma,47467,Billion Btu
3620,2015,HYTCP,Hydroelectricity total net generation,TX,Texas,956,Million kilowatthours
3621,2015,GETCB,Geothermal energy total consumption,GA,Georgia,315,Billion Btu
3622,2015,GEEGP,Geothermal electricity net generation in the electric power sector,TX,Texas,0,Million kilowatthours
3623,2015,WYTCB,Wind energy total consumption,AL,Alabama,0,Billion Btu
3624,2015,GEEGP,Geothermal electricity net generation in the electric power sector,NE,Nebraska,0,Million kilowatthours
3625,2015,BMTCB,Biomass total consumption,UT,Utah,14999,Billion Btu
3626,2015,BMTCB,Biomass total consumption,WY,Wyoming,8604,Billion Btu
3627,2015,BMTCB,Biomass total consumption,NC,North Carolina,147848,Billion Btu
3628,2015,GEEGP,Geothermal electricity net generation in the electric power sector,TN,Tennessee,0,Million kilowatthours
3629,2015,WYTCB,Wind energy total consumption,HI,Hawaii,5707,Billion Btu
3630,2015,WYTCB,Wind energy total consumption,MO,Missouri,9622,Billion Btu
3631,2015,GETCB,Geothermal energy total consumption,TN,Tennessee,213,Billion Btu
3632,2015,HYTCB,Hydropower total consumption,CT,Connecticut,2817,Billion Btu
3633,2015,BMTCB,Biomass total consumption,ND,North Dakota,28664,Billion Btu
3634,2015,HYTCP,Hydroelectricity total net generation,IN,Indiana,381,Million kilowatthours
3635,2015,GETCB,Geothermal energy total consumption,CO,Colorado,759,Billion Btu
3636,2015,HYTCP,Hydroelectricity total net generation,MO,Missouri,1595,Million kilowatthours
3637,2015,SOTCB,Solar energy total consumption,VT,Vermont,1044,Billion Btu
3638,2015,WYTCB,Wind energy total consumption,WY,Wyoming,34990,Billion Btu
3639,2015,SOTCB,Solar energy total consumption,NV,Nevada,18207,Billion Btu
3640,2015,BMTCB,Biomass total consumption,MA,Massachusetts,65888,Billion Btu
3641,2015,BMTCB,Biomass total consumption,ME,Maine,124811,Billion Btu
3642,2015,BMTCB,Biomass total consumption,SC,South Carolina,126557,Billion Btu
3643,2015,BMTCB,Biomass total consumption,WI,Wisconsin,162766,Billion Btu
3644,2015,BMTCB,Biomass total consumption,OR,Oregon,93349,Billion Btu
3645,2015,BMTCB,Biomass total consumption,IL,Illinois,165332,Billion Btu
3646,2015,GETCB,Geothermal energy total consumption,IN,Indiana,4647,Billion Btu
3647,2015,HYTCP,Hydroelectricity total net generation,OK,Oklahoma,2664,Million kilowatthours
3648,2015,WYTCB,Wind energy total consumption,AR,Arkansas,0,Billion Btu
3649,2015,BMTCB,Biomass total consumption,NV,Nevada,12513,Billion Btu
3650,2015,BMTCB,Biomass total consumption,AK,Alaska,7530,Billion Btu
3651,2015,BMTCB,Biomass total consumption,MO,Missouri,69235,Billion Btu
3652,2015,BMTCB,Biomass total consumption,OH,Ohio,136918,Billion Btu
3653,2015,BMTCB,Biomass total consumption,MN,Minnesota,178087,Billion Btu
3654,2015,WYTCB,Wind energy total consumption,ID,Idaho,21145,Billion Btu
3655,2015,GEEGP,Geothermal electricity net generation in the electric power sector,NV,Nevada,3111,Million kilowatthours
3656,2015,GETCB,Geothermal energy total consumption,US,United States,211756,Billion Btu
3657,2015,GETCB,Geothermal energy total consumption,TX,Texas,2478,Billion Btu
3658,2015,BMTCB,Biomass total consumption,WV,West Virginia,19150,Billion Btu
3659,2015,BMTCB,Biomass total consumption,AL,Alabama,192270,Billion Btu
3660,2015,BMTCB,Biomass total consumption,TX,Texas,237474,Billion Btu
3661,2015,BMTCB,Biomass total consumption,US,United States,5014887,Billion Btu
3662,2015,HYTCP,Hydroelectricity total net generation,TN,Tennessee,9581,Million kilowatthours
3663,2015,WYTCP,Wind electricity total net generation,PA,Pennsylvania,3353,Million kilowatthours
3664,2015,GEEGP,Geothermal electricity net generation in the electric power sector,FL,Florida,0,Million kilowatthours
3665,2015,WYTCP,Wind electricity total net generation,GA,Georgia,0,Million kilowatthours
3666,2015,GEEGP,Geothermal electricity net generation in the electric power sector,NJ,New Jersey,0,Million kilowatthours
3667,2015,BMTCB,Biomass total consumption,CA,California,344065,Billion Btu
