,Year,State,BiofuelsProduction,BiomassConsumption,GeothermalProduction,GeothermalConsumption,HydropowerConsumption,HydropowerProduction,SolarConsumption,SolarProduction,WoodWasteProduction,WindConsumption,WindProduction,Unit
80,1992,ND,2444.0,3707.0,0.0,112.0,5796.0,5797.229257999999,0.0,0.0,2120.0,0.0,0.0,Billion Btu
81,1992,NE,3393.0,9884.0,0.0,124.0,3669.0,3668.0526499999996,10.0,0.0,4969.0,0.0,0.0,Billion Btu
82,1992,NH,0.0,27770.0,0.0,0.0,4755.0,4756.5259479999995,28.0,0.0,27770.0,0.0,0.0,Billion Btu
83,1992,NJ,0.0,37870.0,0.0,73.0,76.0,75.06712399999999,414.0,13.648568,37870.0,0.0,0.0,Billion Btu
84,1992,NM,1687.0,5962.0,0.0,125.0,870.0,870.0962099999999,584.0,0.0,4221.0,0.0,0.0,Billion Btu
85,1992,NV,0.0,3796.0,4019.503276,4897.0,6775.0,6776.514012,92.0,0.0,3136.0,0.0,0.0,Billion Btu
86,1992,NY,0.0,104515.0,0.0,117.0,95729.0,95734.468094,305.0,3.412142,104515.0,0.0,0.0,Billion Btu
87,1992,OH,6605.0,81062.0,0.0,406.0,864.0,863.2719259999999,22.0,0.0,66658.0,0.0,0.0,Billion Btu
88,1992,OK,0.0,19677.0,0.0,1.0,11061.0,11062.164364,89.0,0.0,19677.0,0.0,0.0,Billion Btu
89,1992,OR,0.0,47150.0,0.0,409.0,108224.0,108229.732098,376.0,0.0,45389.0,2.0,3.412142,Billion Btu
90,1992,PA,0.0,80199.0,0.0,270.0,8795.0,8796.502075999999,460.0,0.0,80199.0,0.0,0.0,Billion Btu
91,1992,RI,0.0,4693.0,0.0,0.0,34.0,34.12142,43.0,0.0,4693.0,0.0,0.0,Billion Btu
92,1992,SC,0.0,76301.0,0.0,96.0,11295.0,11294.19002,16.0,0.0,76301.0,0.0,0.0,Billion Btu
93,1992,SD,1107.0,4357.0,0.0,197.0,12324.0,12324.656904,0.0,0.0,2402.0,0.0,0.0,Billion Btu
94,1992,TN,5223.0,65326.0,0.0,31.0,34158.0,34158.953561999995,60.0,0.0,61243.0,0.0,0.0,Billion Btu
95,1992,TX,56.0,108088.0,0.0,307.0,9001.0,9001.230596,420.0,3.412142,105781.0,0.0,0.0,Billion Btu
96,1992,US,145005.0,2931673.0,55065.147595999995,66863.0,863536.0,863572.194496,59819.0,1494.518196,2786668.0,9852.0,9854.266096,Billion Btu
97,1992,UT,0.0,3785.0,634.658412,1055.0,2055.0,2054.109484,40.0,0.0,3762.0,0.0,0.0,Billion Btu
98,1992,VA,562.0,99299.0,0.0,179.0,3719.0,3719.23478,128.0,0.0,98100.0,0.0,0.0,Billion Btu
99,1992,VT,0.0,6477.0,0.0,0.0,3144.0,3142.582782,7.0,0.0,6477.0,0.0,0.0,Billion Btu
100,1992,WA,672.0,99563.0,0.0,116.0,233124.0,233134.60215,372.0,0.0,95374.0,0.0,0.0,Billion Btu
101,1992,WI,0.0,85250.0,0.0,92.0,8194.0,8195.965084,213.0,0.0,83776.0,0.0,0.0,Billion Btu
